invoice_id,vendor_id,buyer_id,lender_id,amount,tax_amount,discount_amount,currency,total_line_items,avg_item_price,invoice_date,submission_time,vendor_account_age_days,time_since_last_invoice,invoices_last_24h,invoices_last_7d,vendor_lender_count,vendor_buyer_count,repeat_vendor_buyer_pair,unique_lenders_used,is_round_amount,amount_deviation,high_value_invoice,weekend_submission,night_submission,line_item_similarity_score,description_similarity,is_fraud
8f453b4a-3b91-475e-a9fd-db6fd60ba18e,V_0029,B_0004,L_005,57047.79,5704.78,398.02,USD,7,8149.68,2025-11-27,2,66,1,0,3,1,9,0,1,0,0.65,1,0,1,0.1248,0.0465,0
f4444519-de91-4458-b4b4-2b6801fad233,V_0144,B_0026,L_009,36106.79,3610.68,810.97,USD,18,2005.93,2025-02-24,5,697,17,1,4,2,2,1,1,0,1.52,0,0,1,0.0165,0.7759,0
9c5d71c5-81b2-4155-af7c-920af361c45f,V_0098,B_0013,L_006,12819.11,1281.91,386.96,USD,3,4273.04,2025-11-22,3,776,5,2,12,3,15,1,2,0,-0.46,0,1,1,0.4198,0.3456,0
3b5f0698-817b-4af9-b7e6-75bd6a496af8,V_0148,B_0025,L_002,92829.7,9282.97,1057.79,USD,19,4885.77,2025-06-20,3,929,40,2,4,2,6,0,1,0,-0.47,1,0,1,0.2337,0.2931,0
3afb2436-3ea2-4407-9031-0255030ba8e1,V_0069,B_0090,L_002,47132.04,4713.2,403.31,USD,47,1002.81,2025-10-15,12,1311,44,1,11,2,14,1,1,0,0.07,0,0,0,0.0372,0.486,0
8b9c3189-0a4e-4be0-a2a4-c0d7140399cf,V_0059,B_0005,L_006,3996.59,399.66,13.23,USD,37,108.02,2025-08-01,6,811,56,3,5,2,3,1,1,0,-1.42,0,0,0,0.7725,0.6467,0
8a13f0ed-cf43-4104-ae00-71545fa6a824,V_0144,B_0069,L_005,5950.56,595.06,127.47,USD,38,156.59,2025-06-13,4,187,48,0,1,1,11,0,1,0,-0.6,0,0,1,0.3961,0.0275,0
92ea9c76-4a4a-4f4d-a50b-cf929d02c978,V_0109,B_0077,L_002,15600.92,1560.09,464.82,USD,30,520.03,2025-12-01,0,235,43,2,12,2,2,1,2,0,1.85,0,0,1,0.2494,0.4161,0
8ddafc51-27fa-4513-959d-7a55d118ea50,V_0112,B_0021,L_008,62939.81,6293.98,2272.42,USD,47,1339.14,2025-11-04,5,218,55,2,12,3,10,0,1,0,0.74,1,0,1,0.1568,0.0362,0
9f2d36c2-0a8c-40be-a49e-1df68954945c,V_0040,B_0048,L_003,23381.77,2338.18,910.28,USD,34,687.7,2025-12-24,10,230,59,2,6,1,1,1,1,0,0.17,0,0,0,0.663,0.2854,0
7f3ddddf-8048-4816-a207-36aee951d694,V_0146,B_0011,L_002,32607.5,3260.75,1330.42,USD,49,665.46,2025-04-26,4,1126,10,2,10,3,7,0,1,0,0.32,0,1,1,0.7895,0.6178,0
1b9a9dcd-fd11-4af1-a1d8-9f7e68a84b74,V_0139,B_0097,L_004,430.77,43.08,8.59,USD,43,10.02,2025-10-03,16,508,14,0,5,1,10,1,1,0,-0.39,0,0,0,0.5655,0.5832,0
